"Assets > Saraswat Bank - S.B. A/c 152200100300217 ( 101001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
ME-2025-0000434,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 303,21-05-2025,NEFT recd agst bill no. 046 dt 01.05.2025,DCBLH07936965,N.A., Saraswat Bank - S.B. A/c 152200100300217 ,101001,3148.00,,
ME-2025-0000435,301012 301003 301011 301016 303001 304001 301004,Late Payment Interest Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges Late Payment Interest Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 201,24-05-2025,NEFT recd agst bill no. 040 dt 01.05.2025,HDFCH00258638965,HDFC Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,6408.00,,
ME-2025-0000419,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 304,25-05-2025,Chq dt. 25.05.25 recd agst bill 0047 dt. 01.05.25,098794,Punjab National Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3194.00,,
ME-2025-0000420,301009 301003 301011 301016 304001 301004,2Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Sinking Fund Water Charges, G001,25-05-2025,Ch dt.19.05.25 recd agst bill 60 dt. 01.05.25,000014,Bassein Catholic Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,2378.00,,
ME-2025-0000421,301009 301002 301010 301003 301011 301016 303001 304001 301004,2Wheeler Parking Charges  4Wheeler Parking Charges  Additional Space Charges Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 102,25-05-2025,Ch dt. 25.05.25 recd agst bill 37 dt. 01.05.25,697614,State Bank Of India, Saraswat Bank - S.B. A/c 152200100300217 ,101001,4698.00,,
ME-2025-0000422,301012 301002 301003 301011 301016 303001 304001 301004 206001,Late Payment Interest 4Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges Advance Members Advance Members, 301,25-05-2025,Ch dt.17.05.25 recd agst bill 44 dt. 01.05.25,697967,State Bank Of India, Saraswat Bank - S.B. A/c 152200100300217 ,101001,21265.00,,
ME-2025-0000423,301002 301010 301003 301011 301016 303001 304001 301004,4Wheeler Parking Charges  Additional Space Charges Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 101,25-05-2025,Ch dt. 25.05.25 recd agst bill 36 dt. 01.05.25,000142,HDFC Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,4394.00,,
ME-2025-0000436,301012 301003 301011 301016 303001 305005 304001 301004,Late Payment Interest Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Shifting Charges - Move In And Move Out Sinking Fund Water Charges, 204,25-05-2025,UPI recd agst bill no. 043 dt 01.05.2025,514565565274,PNB Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,5196.00,,
ME-2025-0000641,206001,Advance Members, 502,03-06-2025,UPI recd as advance,105859440708,HDFC Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3000.00,,
EE-2025-0000065,401001,Salary Expenses,Shantaram Katkar,03-06-2025,Being salary paid for May 2025,195287,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,2000,
EE-2025-0000059,404001,Water Expenses,BMC,05-06-2025,Being water bill paid for the period 08.11.24 to 10.02.25,195285,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,6405,
EE-2025-0000063,407001,Security Charges,Deepak Security Service,05-06-2025,Being bill paid for May 2025,195286,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,25868,
EE-2025-0000067,401001,Salary Expenses,Chitra Parmar,05-06-2025,Being salary paid for May 2025,152288,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,4000,
EE-2025-0000071,401001,Salary Expenses,Gardner,05-06-2025,Being salary paid for May 2025,195289,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,1000,
EE-2025-0000318,403001,Electricity Charges,TATA Power,09-06-2025,Being elec bill paid May 2025,9350895420,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,7907,
EE-2025-0000320,403001,Electricity Charges,TATA Power,09-06-2025,Being elec bill paid May 2025,NA,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,1297,
ME-2025-0000642,301012 301002 301003 301011 301016 303001 304001 301004,Late Payment Interest 4Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges Late Payment Interest 4Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges 4Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 104,10-06-2025,UPI recd agst bill no. 067 dt 01.06.2025,106243686821,HDFC Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,10265.00,,
BE-2025-0000025,0,Bank Transfer,,11-06-2025,Being cash withdrawn,195290,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,2500,
ME-2025-0000629,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 603,14-06-2025,NEFT recd agst bill  0086 dt 1.06.25,HDFCH00303790184,N.A., Saraswat Bank - S.B. A/c 152200100300217 ,101001,3188.00,,
ME-2025-0000643,301002 301003 301011 301016 303001 304001 301004 206001,4Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges Advance Members Advance Members, 503,14-06-2025,IMPS recd agst bill no. 082 dt 01.06.2025,516510675973,N.A., Saraswat Bank - S.B. A/c 152200100300217 ,101001,3398.00,,
ME-2025-0000644,301009 301002 301003 301011 301016 303001 304001 301004,2Wheeler Parking Charges  4Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 602,14-06-2025,NEFT recd agst bill no. 085 dt 01.06.2025,SCBLH16500558697,N.A., Saraswat Bank - S.B. A/c 152200100300217 ,101001,3488.00,,
ME-2025-0000645,301012 301003 301011 301016 303001 304001 301004,Late Payment Interest Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 402,15-06-2025,NEFT recd agst bill no. 077 dt 01.06.2025,HDFCH00304154245,N.A., Saraswat Bank - S.B. A/c 152200100300217 ,101001,6307.00,,
ME-2025-0000630,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 401,19-06-2025,NEFT recd agst bill dt. 01.06.25,ICICN12025061981557251,ICICI Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3194.00,,
ME-2025-0000631,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 404,19-06-2025,NEFT recd agst bill dt. 01.06.25,ICICN12025061981557251,ICICI Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3194.00,,
ME-2025-0000632,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 501,19-06-2025,NEFT recd agst bill dt. 01.06.25,ICICN12025061981557251,ICICI Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3236.00,,
ME-2025-0000633,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 504,19-06-2025,NEFT recd agst bill dt. 01.06.25,ICICN12025061981557251,ICICI Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3236.00,,
ME-2025-0000646,301003 301011 301016 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Sinking Fund Water Charges, G-II,19-06-2025,NEFT recd agst bill no. 087 dt 01.06.2025,DCBLH06774844,N.A., Saraswat Bank - S.B. A/c 152200100300217 ,101001,2240.00,,
ME-2025-0000647,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 303,19-06-2025,NEFT recd agst bill no. 074 dt 01.06.2025,DCBLH06774853,N.A., Saraswat Bank - S.B. A/c 152200100300217 ,101001,3148.00,,
ME-2025-0000637,301012 301009 301002 301010 301003 301011 301016 303001 304001 301004 301007,Late Payment Interest 2Wheeler Parking Charges  4Wheeler Parking Charges  Additional Space Charges Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges Non Occupancy Charges 2Wheeler Parking Charges  4Wheeler Parking Charges  Additional Space Charges Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges Non Occupancy Charges, 103,20-06-2025,Ch. dt. 20.06.2025 recd agst bill no. 066 dt 01.06.2025,000093,HDFC Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,9846.00,,
ME-2025-0000648,301009 301003 301011 301016 303001 304001 301004 301007,2Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges Non Occupancy Charges, 403,20-06-2025,NEFT recd agst bill no. 078 dt 01.06.2025,HDFCH00312061162,HDFC Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3498.00,,
ME-2025-0000649,301012 301010,Late Payment Interest Additional Space Charges, S1/2/3A,21-06-2025,NEFT recd agst bill no. 061 dt 01.06.2025,BARBQ25172201744,N.A., Saraswat Bank - S.B. A/c 152200100300217 ,101001,13034.00,,
ME-2025-0000650,301012 301003 301011 301016 303001 304001,Late Payment Interest Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund, G2,21-06-2025,NEFT recd agst bill no. 062 dt 01.06.2025,BARBQ25172202245,N.A., Saraswat Bank - S.B. A/c 152200100300217 ,101001,10143.00,,
